level,object_name,object_type,business_purpose,primary_upstream
1,PBI_LINEAGE_DEMO.RAW.RAW_ORDER_LINES,TABLE,File landing table for order-line events,order_lines.csv
2,PBI_LINEAGE_DEMO.STAGE.V_ORDER_VALIDATED,VIEW,Type casting and data-quality classification,PBI_LINEAGE_DEMO.RAW.RAW_ORDER_LINES
3,PBI_LINEAGE_DEMO.STAGE.T_ORDER_VALIDATED,TABLE,Materialized valid non-cancelled order lines,PBI_LINEAGE_DEMO.STAGE.V_ORDER_VALIDATED
4,PBI_LINEAGE_DEMO.CORE.V_ORDER_ENRICHED,VIEW,Customer and product enrichment,PBI_LINEAGE_DEMO.STAGE.T_ORDER_VALIDATED
5,PBI_LINEAGE_DEMO.CORE.T_ORDER_FINANCIALS,TABLE,Materialized revenue cost and profit calculations,PBI_LINEAGE_DEMO.CORE.V_ORDER_ENRICHED
6,PBI_LINEAGE_DEMO.CORE.V_ORDER_BEHAVIOR,VIEW,Customer lifecycle and margin behavior,PBI_LINEAGE_DEMO.CORE.T_ORDER_FINANCIALS
7,PBI_LINEAGE_DEMO.ANALYTICS.T_ORDER_BEHAVIOR,TABLE,Materialized behavior-ready order facts,PBI_LINEAGE_DEMO.CORE.V_ORDER_BEHAVIOR
8,PBI_LINEAGE_DEMO.ANALYTICS.V_SALES_TARGET_STATUS,VIEW,Regional target allocation and performance context,PBI_LINEAGE_DEMO.ANALYTICS.T_ORDER_BEHAVIOR
9,PBI_LINEAGE_DEMO.MART.T_SALES_STORY,TABLE,Curated business-story mart,PBI_LINEAGE_DEMO.ANALYTICS.V_SALES_TARGET_STATUS
10,PBI_LINEAGE_DEMO.MART.FACT_PBI_SALES_STORY,TABLE,Power BI presentation fact table,PBI_LINEAGE_DEMO.MART.T_SALES_STORY
